"male","female","dyad","DSI","zDSI","date_extraction"
"Kom","Oort","Kom Oort",0.11165,-0.11727,"2022-09-14"
"Nge","Oerw","Nge Oerw",0.59174,-0.04615,"2022-09-14"
"Sey","Sirk","Sey Sirk",0,-0.1353,"2022-09-14"
"Sey","Sirk","Sey Sirk",0,0,"2022-09-14"
"Xia","Piep","Xia Piep",0,0,"2022-09-14"
"Nge","Oerw","Nge Oerw",0,0,"2022-09-14"
"Xin","Ouli","Xin Ouli",0,0,"2022-09-14"
"Sho","Ginq","Sho Ginq",0,0,"2022-09-14"
"Buk","Ndaw","Buk Ndaw",0,0,"2022-09-14"
"Kom","Oort","Kom Oort",0,0,"2022-09-14"
"Pom","Xian","Pom Xian",0,0,"2022-09-14"
"Kom","Oort","Kom Oort",0.16753,-0.13645,"2022-09-16"
"Nge","Oerw","Nge Oerw",0.88239,0.01898,"2022-09-16"
"Sey","Sirk","Sey Sirk",0,-0.17735,"2022-09-16"
"Sey","Sirk","Sey Sirk",0,0,"2022-09-16"
"Xia","Piep","Xia Piep",0,0,"2022-09-16"
"Nge","Oerw","Nge Oerw",0,0,"2022-09-16"
"Xin","Ouli","Xin Ouli",0,0,"2022-09-16"
"Sho","Ginq","Sho Ginq",0,0,"2022-09-16"
"Buk","Ndaw","Buk Ndaw",0,0,"2022-09-16"
"Kom","Oort","Kom Oort",0,0,"2022-09-16"
"Pom","Xian","Pom Xian",0,0,"2022-09-16"
"Kom","Oort","Kom Oort",0.19882,-0.15281,"2022-09-22"
"Nge","Oerw","Nge Oerw",0.99536,0.06,"2022-09-22"
"Sey","Sirk","Sey Sirk",0,-0.21378,"2022-09-22"
"Sey","Sirk","Sey Sirk",0,0,"2022-09-22"
"Xia","Piep","Xia Piep",0,0,"2022-09-22"
"Nge","Oerw","Nge Oerw",0,0,"2022-09-22"
"Xin","Ouli","Xin Ouli",0,0,"2022-09-22"
"Sho","Ginq","Sho Ginq",0,0,"2022-09-22"
"Buk","Ndaw","Buk Ndaw",0,0,"2022-09-22"
"Kom","Oort","Kom Oort",0,0,"2022-09-22"
"Pom","Xian","Pom Xian",0,0,"2022-09-22"
"Kom","Oort","Kom Oort",0,-0.21971,"2022-12-12"
"Nge","Oerw","Nge Oerw",0.411,-0.08542,"2022-12-12"
"Sey","Sirk","Sey Sirk",0.54882,-0.04826,"2022-12-12"
"Sey","Sirk","Sey Sirk",0,0,"2022-12-12"
"Xia","Piep","Xia Piep",0,0,"2022-12-12"
"Nge","Oerw","Nge Oerw",0,0,"2022-12-12"
"Xin","Ouli","Xin Ouli",0,0,"2022-12-12"
"Sho","Ginq","Sho Ginq",0,0,"2022-12-12"
"Buk","Ndaw","Buk Ndaw",0,0,"2022-12-12"
"Kom","Oort","Kom Oort",0,0,"2022-12-12"
"Pom","Xian","Pom Xian",0,0,"2022-12-12"
"Buk","Ndaw","Buk Ndaw",0.26847,-0.20531,"2022-09-27"
"Sey","Sirk","Sey Sirk",0,0,"2022-09-27"
"Xia","Piep","Xia Piep",0,0,"2022-09-27"
"Nge","Oerw","Nge Oerw",0,0,"2022-09-27"
"Xin","Ouli","Xin Ouli",0,0,"2022-09-27"
"Sho","Ginq","Sho Ginq",0,0,"2022-09-27"
"Buk","Ndaw","Buk Ndaw",0,0,"2022-09-27"
"Kom","Oort","Kom Oort",0,0,"2022-09-27"
"Pom","Xian","Pom Xian",0,0,"2022-09-27"
"Buk","Ndaw","Buk Ndaw",0.28506,-0.19897,"2022-09-29"
"Sey","Sirk","Sey Sirk",0,0,"2022-09-29"
"Xia","Piep","Xia Piep",0,0,"2022-09-29"
"Nge","Oerw","Nge Oerw",0,0,"2022-09-29"
"Xin","Ouli","Xin Ouli",0,0,"2022-09-29"
"Sho","Ginq","Sho Ginq",0,0,"2022-09-29"
"Buk","Ndaw","Buk Ndaw",0,0,"2022-09-29"
"Kom","Oort","Kom Oort",0,0,"2022-09-29"
"Pom","Xian","Pom Xian",0,0,"2022-09-29"
"Pom","Xian","Pom Xian",0,-0.30383,"2023-03-10"
"Sey","Sirk","Sey Sirk",0,0,"2023-03-10"
"Xia","Piep","Xia Piep",0,0,"2023-03-10"
"Nge","Oerw","Nge Oerw",0,0,"2023-03-10"
"Xin","Ouli","Xin Ouli",0,0,"2023-03-10"
"Sho","Ginq","Sho Ginq",0,0,"2023-03-10"
"Buk","Ndaw","Buk Ndaw",0,0,"2023-03-10"
"Kom","Oort","Kom Oort",0,0,"2023-03-10"
"Pom","Xian","Pom Xian",0,0,"2023-03-10"
